Category,Question,Answer
general," ""Tell me about a time when you had to work closely with someone whose personality was very different from yours.""",
general," ""Give me an example of a time you faced a conflict with a coworker. How did you handle that?""",
general," ""Tell me about a time you made a mistake and wish you’d handled a situation with a colleague differently.""",
general," ""Tell me about a time you needed to get information from someone who wasn’t very responsive. What did you do?""",
general," ""Describe a time when it was especially important to make a good impression on a client. How did you go about doing so?""",
general," ""Give me an example of a time when you didn’t meet a client’s expectation. What happened"," and how did you attempt to rectify the situation?"""
IB," ""What is the role of investment banking in the financial industry?""",
IB," ""Explain the difference between buy-side and sell-side in investment banking.""",
IB," ""What are the main services provided by investment banks?""",
IB," ""Describe the process of conducting due diligence in an investment banking transaction.""",
IB," ""What is an initial public offering (IPO) and how does it work?""",
IB," ""Explain the concept of valuation in investment banking.""",
IB," ""What are the key financial statements used in investment banking analysis?""",
IB," ""Describe the role of mergers and acquisitions (M&A) in investment banking.""",
IB," ""What is a leveraged buyout (LBO) and how does it work?""",
IB," ""Explain the concept of risk management in investment banking.""",
IB," ""What are the main factors that drive the valuation of a company in an investment banking context?""",
IB," ""Describe the role of underwriting in investment banking.""",
IB," ""What are the main types of financial models used in investment banking?""",
IB," ""Explain the concept of capital markets in investment banking.""",
IB," ""What are the key regulatory considerations in investment banking?""",
consulting," ""Tell me about a time when you had to analyze a complex problem and provide recommendations to a client.""",
consulting," ""Give me an example of a project where you had to manage multiple stakeholders with conflicting interests. How did you handle it?""",
consulting," ""Describe a situation where you had to present a difficult or unpopular recommendation to a client. How did you approach it?""",
consulting," ""Tell me about a time when you had to work with a team to develop a strategic plan for a client. How did you ensure alignment and execution?""",
consulting," ""Give me an example of a situation where you had to manage a project with tight deadlines and limited resources. How did you prioritize and deliver results?""",
consulting," ""Describe a time when you had to conduct market research and analysis to support a client's decision-making process.""",
consulting," ""Tell me about a project where you had to identify and assess risks for a client. How did you mitigate those risks?""",
consulting," ""Give me an example of a situation where you had to facilitate a difficult conversation or negotiation between clients. How did you manage the process?""",
consulting," ""Describe a time when you had to develop and deliver a training program for a client's employees. How did you ensure effective knowledge transfer?""",
consulting," ""Tell me about a project where you had to analyze financial data and develop financial models to support a client's investment decision.""",
consulting," ""Give me an example of a situation where you had to manage change within an organization. How did you overcome resistance and drive adoption?""",
consulting," ""Describe a time when you had to conduct a feasibility study for a client's new business venture. How did you assess the viability and potential risks?""",
consulting," ""Tell me about a project where you had to develop and implement a performance measurement system for a client. How did you ensure alignment with their strategic goals?""",
consulting," ""Give me an example of a situation where you had to lead a team through a process improvement initiative. How did you drive efficiency and effectiveness?""",
consulting," ""Describe a time when you had to develop a business case for a client's investment opportunity. How did you assess the financial viability and potential returns?""",
consulting," ""Your client is a $300 million a year copper mining company. This year it has lost $50 million. How do you turn it around?""",
consulting," ""How many gallons of gasoline does an average gas station in America sell on an average day?""",
consulting," ""Your client is a ski resort. Global warming has made it such that natural snowfall has been reduced by 50%. They client is concerned. What should they do and why?""",
consulting," ""Your client is Motorola. The year is 1980. They just invented the cellular phone 3 years ago. They want you to estimate the market demand for cell phones over the next 30 years and tell them if there is a market for this invention (and prove it)""",
consulting," ""Your client is a gas station and the market is so competitive that they make no money on gasoline sales. All the profit is in convenience store sales. What is the profit maximizing way to layout the convenience store and why?""",
